lemma,synset,gloss,,,,,,,,
abalienatio,n#05577059,the feeling of being alienated from other people,,,,non presente nÈ in OLD nÈ in L&S; significato traslato da abalieno?,,,,
abalienatio,,a legal transfer of property,,,,OLD; L&S: ìby saleî,,,,
abalieno,v#01073112,force, take, or pull apart,,,,,,
abalieno,v#01244286,arouse enmity or indifference in where there had formerly been love, affection, or friendliness,,,,,,
abalieno,v#01510126,take from a person or place,,,,,,,,
abalieno,v#01520167,cause to change ownership,,,,,,,,
abalieno,v#01788872,act as a barrier between, stand between,,,"presente solo in L&S: ìto remove, separateî",,,,
abalieno,,"to remove, take away from, dispose of",,,,OLD; L&S.,,,,
abalieno,,"alienate from, estrange, render disaffected from something",,,,OLD; L&S.,,,,
abalieno,,"to make insensate, deaden, numb",,,,presente solo in OLD,,,,
Abalien-ari + mente,,abstract oneís mind from something,,,,,,,,
abante,r#00064239,at or in the front,,,,,,,,
abavus,N#07075378,someone from whom you are descended (but usually more remote that a grandparent),,,,,,,,
abavus,a ,applied to a remote ancestor,,,,LíOLD lo tratta come aggettivo (pater abavus),,,,
abbatissa,n#07053378,the superior of a group of nuns,,,,"non presente, latino post-classico",,,,
abbrevio,v#00166527,shorten, as of words,,,L&S,,,,
abbrevio,v#00219644,make shorter than originally intended, reduce or retrench in length or duration,,,,,,,
abbrevio,v#00393490,make short or shorter,,,,stesso significato di shorten. Rimuovere?,,,,
abdicatio,n#00134568,the act of renouncing,,,,i tre synset di abbrevio hanno lo stesso concetto = tagliare a uno solo?,,,,
abdicatio,n#05385235,refusal to acknowledge as oneís own,,,,,,,,
abdicatio,n#05414335,a verbal act of renouncing,,,,,,,,
abdico,,"disown, repudiate oneís relation",,,,OLD; L&S ,,,,
abdico,v#00071198,"eliminate things, throw away as useless", as of bodily substances,,,,,,,
abdico,v#00462716,"condemn things or practices as unsuitable, disapprove",,,,OLD ,,,,
abdico,,to be against an omen,,,,OLD ,,,,
abdico,v#01007120,put out or expel from a place,,,,,,,,
abdico,,to withhold a right from somebody,,,,OLD ,,,,
abdico,v#01531148,refuse to accept,,,,,,,,
abdico,v#01582621,prevent deliberately (as by making a will) from inheriting,,,,,,,,
abdico,v#01652576,do away with,,,,,,,,
abdico,,"resign from an office, withdraw from an activity",,,,OLD; L&S ,,,,
abdo,v#01467965,"prevent from being seen or discovered, cover, conceal",,,,,,,,
abdo,,"enclose, wrap up, sheathe, bury",,,,OLD; L&S ,,,,
abdo,v#01469149,hold back, keep from being perceived by others, as of emotions or expressions of emotions,,,,,,
abdo,v#01469456,go into hiding or conceal oneself,,,,,,,,
abdo,v#01522120,"dispose of, remove",,,,,,,,
abdo,v#01637882,"remove from a position or an office, basnish from public view",,,,,,,,
abdo,,"keep a secret, conceal the meaning of something, hide a feeling",,,,OLD; L&S ,,,,
abdomen,n#04304039,a protruding abdomen,,,,,,,,
abdomen,n#04304826,the region of the body of a vertebrate between the thorax and the pelvis,,,,,,,,
abdomen,,"seat of appetites, gluttony and sensuality",,,,OLD; L&S ,,,,
abeo,v#00250254,pass from physical life and lose all all bodily attributes and functions necessary to sustain life,,,,,,,,
abeo,v#01371248,go away from a place,,,,,,,,
abeo,,"go with a purpose, go and do something",,,,,,,,
,,"forsake, desert ",,,,,,,,
aberratio,n#00272358,an activity that diverts or amuses or stimulates,,,,,,,,
aberratio,n#05570696,the feeling that comes when something burdensome is removed or reduced,,,,,,,,
aberratio,n#10364817,the condition of being comfortable or relieved (especially after being relieved of distress),,,,,,,,
abhorreo,v#01211403,find repugnant,,,,,,,,
abicio,v#01039562,get rid of,,,,,,,,
abicio,v#01238101,"lower someone""s spirits; make downhearted",,,,,,,,
abies,n#03318070,a vessel that carries passengers or freight,,,,,,,,
abies,n#03378030,a long pointed rod used as a weapon,,,,,,,,
abies,n#03378225,an implement with a shaft and barbed point used for catching fish,,,,,,,,
abies,n#07938180,any of various evergreen trees of the genus Abies, chiefly of upland areas,,,,,,,
abigeatus,n#00620598,the stealing of cattle,,,,,,,,
abigo,v#00071198,eliminate, as of bodily substances,,,,,,,
abigo,v#01007120,put out or expel from a place,,,,,,,,
abigo,v#01034588,cause to move back by force or influence,,,,,,,,
abigo,v#01366372,force to go away, used both with concrete and metaphoric meanings,,,,,,,
abigo,v#01636994,terminate the employment of,,,,,,,,
