"id";"word";"phrase";"gloss"
"a#00004481";" contractus ";"";""
"a#00007066";" relativus ";"";""
"a#00010404";" austerus censorius severus ";"";""
"a#00011404";" edax ";"";""
"a#00011658";" avidus edax ";"";""
"a#00014012";" abundans adfluens copiosus creber cumulatus dapsilis fecundus opimus uber ";"";""
"a#00018244";" acceptabilis ";"";""
"a#00020300";" accessibilis appositus ";"";""
"a#00021124";" clausus inaccessus invius ";"";""
"a#00023303";" accuratus exactus ";"";""
"a#00031053";" appetens avarus avidus cupidus hiulcus rapax ";"";""
"a#00032078";" rapax ";"";""
"a#00032288";" sordidus ";"";""
"a#00039964";" deses iners reses ";"";""
"a#00042340";" deses iners reses ";"";""
"a#00042606";" deses iners reses ";"";""
"a#00043399";" passivus supinus ";"";""
"a#00045472";" acutus argutulus sagax ";"";""
"a#00045826";" chronicus chronius vetus ";"";""
"a#00056778";" comptus ";"";""
"a#00062396";" inornatus ";"";""
"a#00066844";" compendiosus conducibilis fructuosus opportunus proficuus salutaris utilis ";"";""
"a#00067911";" captiosus detrimentosus inutilis ";"";""
"a#00075417";" quaesitus vultuosus ";"";""
"a#00076652";" genuinus ingenuus innatus nativus naturalis simplex ";"";""
"a#00076892";" genuinus innatus nativus naturalis ";"";""
"a#00077366";" adfirmativus aiens dedicativus ";"";""
"a#00084648";" impavidus interritus intrepidus ";"";""
"a#00089141";" amens furiosus insanus lymphaticus lymphatus phreneticus rabidus vecors vesanus ";"";""
"a#00092317";" amoenus commodus delectabilis gratiosus gratus lepidus suavis ";"";""
"a#00094531";" agilis vigil ";"";""
"a#00097100";" ambulatorius ";"";""
"a#00107334";" ambitiosus ";"";""
"a#00108604";" amplus ";"";""
"a#00109260";" exiguus inops macer macilentus pauper ";"";""
"a#00117308";" iratus ";"";""
"a#00121522";" inanimans inanimatus inanimus ";"";""
"a#00121842";" agitatus animatus animax vitalis vivus ";"";""
"a#00123339";" animalis ";"";""
"a#00123651";" clancularius ";"";""
"a#00124764";" antecedens prior ";"";""
"a#00127354";" terrenus ";"";""
"a#00127478";" amphibius ";"";""
"a#00129370";" annosus antiquus canus senectus veteranus vetus ";"";""
"a#00138848";" meritus ";"";""
"a#00144426";" harenaceus harenosus ";"";""
"a#00144604";" argillaceus cretosus lubricosus ";"";""
"a#00147052";" hirsutus hispidus horridus spineus spinosus ";"";""
"a#00152252";" disertus eloquens facundus ";"";""
"a#00157618";" attritus audax insolens petulans ";"";""
"a#00167697";" blandus suavis venustus ";"";""
"a#00174260";" gravidus gravis praegnas ";"";""
"a#00177964";" almus laetus praesens propitius prosperus ";"";""
"a#00178582";" obscenus ";"";""
"a#00189585";" adstrictorius constrictivus densabilis ";"";""
"a#00194690";" formidulosus horrifer horrificus ";"";""
"a#00199331";" deinceps posterus secundus ";"";""
"a#00205268";" domesticus familiaris notus tritus ";"";""
"a#00209325";" gramineus herbidus herbosus ";"";""
"a#00210154";" glaber ";"";""
"a#00211427";" comans hirsutus hispidus pilosus ";"";""
"a#00215099";" aureus decorus formosus pulcher ";"";""
"a#00219341";" indecens ";"";""
"a#00221675";" invidus malevolens malevolus ";"";""
"a#00237636";" bipes ";"";""
"a#00237744";" quadrupes ";"";""
"a#00239414";" flavus ";"";""
"a#00243444";" atrox cruentus ";"";""
"a#00246712";" audax ";"";""
"a#00248123";" metuculosus timidus ";"";""
"a#00258473";" animosus audaculus audax audens bonus fortis intrepidus magnanimus ";"";""
"a#00266706";" albens albus candens candidus clarus illustris lucidus luculentus luminosus ";"";""
"a#00268709";" adustus ater caeruleus caligineus caliginosus niger ";"";""
"a#00280426";" communis ";"";""
"a#00281802";" angustus artus contractus ";"";""
"a#00287715";" consanguineus consors fraternus ";"";""
"a#00288611";" inhumatus insepultus intumulatus ";"";""
"a#00288676";" distentus districtus ";"";""
"a#00298353";" compositus imperturbatus lenis pacatus placatus placidus quietus sedatus tranquillus ";"";""
"a#00299112";" hibernus hiemalis procellosus tempestuosus turbidus turbulentus ";"";""
"a#00301090";" capax ";"";""
"a#00302615";" capax ";"";""
"a#00303585";" attentus curiosus diligens ";"";""
"a#00306130";" incuriosus indiligens neglegens solutus ";"";""
"a#00317140";" cautus circumspectus consideratus ";"";""
"a#00320519";" cavus multicavus ";"";""
"a#00326921";" certus indubius ratus ";"";""
"a#00328258";" certus indubius ratus ";"";""
"a#00330147";" fidens fidus ";"";""
"a#00331522";" certus confirmatus indubitatus indubius ratus ";"";""
"a#00332689";" caliginosus dubius incertus ";"";""
"a#00333883";" necessarius necesse ";"";""
"a#00334532";" evitabilis ";"";""
"a#00334865";" ambiguus mutabilis variabilis ";"";""
"a#00345660";" ambiguus mutabilis variabilis ";"";""
"a#00345897";" incommutabilis ";"";""
"a#00346121";" proprius ";"";""
"a#00350226";" immaculatus impubes incorruptus intemeratus pudicus purus ";"";""
"a#00351663";" hilarus laetus ";"";""
"a#00354187";" ater tristis ";"";""
"a#00369643";" robus ruber rubeus rufus russus ";"";""
"a#00373564";" robus ruber rubeus rufus russus ";"";""
"a#00380983";" adustus ater caeruleus caligineus caliginosus niger ";"";""
"a#00381403";" diatonicus ";"";""
"a#00383303";" humanus ";"";""
"a#00390524";" illotus immundus impurus lutulentus sordidus spurcus ";"";""
"a#00393381";" caenulentus lutosus lutulentus ";"";""
"a#00398231";" albus apertus candidus clarus enucleatus illustris liquidus lucidus manifestus perspicuus purus ";"";""
"a#00401181";" albus apertus candidus clarus enucleatus illustris liquidus lucidus manifestus perspicuus purus ";"";""
"a#00402602";" turbidus ";"";""
"a#00404496";" confusus conturbatus implicatus indigestus turbidus ";"";""
"a#00408403";" asininus bardus brutus desipiens hebes insubidus insulsus stolidus stultus stupidus ";"";""
"a#00412848";" appositus contiguus continens propinquus ";"";""
"a#00429560";" albus apertus candidus clarus enucleatus illustris liquidus lucidus manifestus perspicuus purus ";"";""
"a#00430275";" nubilosus nubilus ";"";""
"a#00433367";" cohaerens ";"";""
"a#00435502";" collectivus ";"";""
"a#00436328";" distributivus ";"";""
